machine_id,start_time,end_time,production_counter,duration_sec,max_pressure,is_valid,is_test_run
2호기(창녕),2025-12-01T22:04:18.920000+00:00,2025-12-01T22:04:19.130000+00:00,11.0,0.21,139.2,False,True
2호기(창녕),2025-12-01T22:04:19.920000+00:00,2025-12-01T22:04:20.135000+00:00,11.0,0.215,137.1,False,True
2호기(창녕),2025-12-01T22:04:20.910000+00:00,2025-12-01T22:04:21.137000+00:00,11.0,0.227,137.1,False,True
2호기(창녕),2025-12-01T22:04:21.930000+00:00,2025-12-01T22:04:22.138000+00:00,11.0,0.208,134.9,False,True
2호기(창녕),2025-12-01T22:04:22.920000+00:00,2025-12-01T22:04:23.169000+00:00,11.0,0.249,134.9,False,True
2호기(창녕),2025-12-01T22:04:23.900000+00:00,2025-12-01T22:04:24.270000+00:00,,0.37,132.8,False,True
2호기(창녕),2025-12-01T22:04:24.910000+00:00,2025-12-01T22:04:25.273000+00:00,,0.363,131.0,False,True
2호기(창녕),2025-12-01T22:04:25.910000+00:00,2025-12-01T22:04:26.283000+00:00,,0.373,131.0,False,True
2호기(창녕),2025-12-01T22:04:26.900000+00:00,2025-12-01T22:04:27.295000+00:00,,0.395,129.3,False,True
2호기(창녕),2025-12-01T22:04:27.930000+00:00,2025-12-01T22:04:28.299000+00:00,,0.369,129.3,False,True
2호기(창녕),2025-12-01T22:04:28.920000+00:00,2025-12-01T22:04:29.302000+00:00,,0.382,127.8,False,True
2호기(창녕),2025-12-01T22:04:29.940000+00:00,2025-12-01T22:04:30.305000+00:00,,0.365,126.1,False,True
2호기(창녕),2025-12-01T22:04:30.920000+00:00,2025-12-01T22:04:31.211000+00:00,11.0,0.291,126.1,False,True
2호기(창녕),2025-12-01T22:04:31.940000+00:00,2025-12-01T22:04:32.089000+00:00,,0.149,124.8,False,True
2호기(창녕),2025-12-01T22:04:32.960000+00:00,2025-12-01T22:04:33.088000+00:00,,0.128,124.8,False,True
2호기(창녕),2025-12-01T22:04:33.950000+00:00,2025-12-01T22:04:34.091000+00:00,,0.141,123.3,False,True
2호기(창녕),2025-12-01T22:04:34.950000+00:00,2025-12-01T22:04:35.098000+00:00,,0.148,123.3,False,True
2호기(창녕),2025-12-01T22:04:35.980000+00:00,2025-12-01T22:04:36.104000+00:00,,0.124,122.1,False,True
2호기(창녕),2025-12-01T22:04:36.980000+00:00,2025-12-01T22:04:37.108000+00:00,,0.128,120.9,False,True
2호기(창녕),2025-12-01T22:04:37.970000+00:00,2025-12-01T22:04:38.012000+00:00,,0.042,120.9,False,True
2호기(창녕),2025-12-01T22:04:38.980000+00:00,2025-12-01T22:04:39.017000+00:00,,0.037,119.6,False,True
2호기(창녕),2025-12-01T22:04:39.960000+00:00,2025-12-01T22:04:40.029000+00:00,,0.069,119.6,False,True
2호기(창녕),2025-12-01T22:04:40.980000+00:00,2025-12-01T22:04:41.053000+00:00,11.0,0.073,118.5,False,True
2호기(창녕),2025-12-01T22:04:41.950000+00:00,2025-12-01T22:04:42.048000+00:00,11.0,0.098,117.2,False,True
